cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
141,O_globe.jpg,objects,jine,x,0,0,0,78,1
248,S_Artificial_kostel5X.jpg,scenes,artificial,chram,0,0,1,79,0
298,S_Nature_pobrezi.jpg,scenes,nature,hory-voda,1,0,0,79,0
255,S_Artificial_majak3.jpg,scenes,artificial,funkcni stavba,1,0,0,79,0
202,Ofv_avocado.jpg,fruit_vegetables,fruit,x,0,1,0,79,0
93,F_WWfemale22-3neutral.jpg,faces,young,female,0,0,0,79,1
109,O_binoculars01b.jpg,objects,jine,x,0,0,1,80,0
106,O_belt02a.jpg,objects,obleceni,x,0,0,0,80,0
40,F_TSFWfemale50-2neutral.jpg,faces,old,female,0,0,0,80,0
145,O_handfan01b.jpg,objects,jine,x,0,0,0,80,0
208,Ofv_eggplant.jpg,fruit_vegetables,vegetable,x,0,1,0,80,1
177,O_screwdriver04b.jpg,objects,nastroj,x,0,0,1,81,0
67,F_TSFWmale23neutral.jpg,faces,young,male,0,0,0,81,0
197,O_watch02a.jpg,objects,elektronika,x,0,0,0,81,0
51,F_TSFWfemale65-7neutral.jpg,faces,old,female,0,0,0,81,0
144,O_hairdryer02a.jpg,objects,elektronika,x,0,0,0,81,1
103,O_bag.jpg,objects,denni,x,0,0,1,82,0
258,S_Artificial_orient4.jpg,scenes,artificial,chram,1,0,0,82,0
111,O_book01b.jpg,objects,jine,x,0,0,0,82,0
201,Ofv_apple07.jpg,fruit_vegetables,fruit,x,0,1,0,82,0
84,F_TSFWmale75neutral.jpg,faces,old,male,0,0,0,82,1
287,S_Nature_jezeroXXXX.jpg,scenes,nature,hory,0,0,1,83,0
73,F_TSFWmale67-2neutral.jpg,faces,old,male,0,0,0,83,0
146,O_hanger02a.jpg,objects,x,x,0,0,0,83,0
43,F_TSFWfemale54neutral.jpg,faces,old,female,0,0,0,83,0
229,S_Artificial_budova5.jpg,scenes,artificial,budova,0,0,0,83,1
323,S_Nature_skala9.jpg,scenes,nature,hory,0,0,1,84,0
253,S_Artificial_kupolaX.jpg,scenes,artificial,funkcni stavba,0,0,0,84,0
61,F_TSFWfemale69-3neutral.jpg,faces,old,female,0,0,0,84,0
75,F_TSFWmale68-2neutral.jpg,faces,old,male,0,0,0,84,0
214,Ofv_lemon02.jpg,fruit_vegetables,fruit,x,0,1,0,84,1
71,F_TSFWmale63neutral.jpg,faces,old,male,0,0,1,85,0
325,S_Nature_sopka2.jpg,scenes,nature,hory,1,0,0,85,0
232,S_Artificial_budova-reka.jpg,scenes,artificial,budova,1,0,0,85,0
250,S_Artificial_kostel-jezero.jpg,scenes,artificial,chram,1,0,0,85,0
20,F_EMWfemale34-2neutral.jpg,faces,young,female,0,0,0,85,1
259,S_Artificial_orient4X.jpg,scenes,artificial,chram,0,0,1,86,0
303,S_Nature_pobrezi6.jpg,scenes,nature,hory-voda,1,0,0,86,0
224,Ofv_strawberry.jpg,fruit_vegetables,fruit,x,0,1,0,86,0
305,S_Nature_pobrezi8.jpg,scenes,nature,hory-voda,1,0,0,86,0
