cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
17,F_EMWfemale27neutral.jpg,faces,young,female,0,0,0,12,1
291,S_Nature_kanon4.jpg,scenes,nature,hory-voda,1,0,1,13,0
189,O_thumbtack02a.jpg,objects,nastroj,x,0,0,0,13,0
62,F_TSFWfemale69-4neutral.jpg,faces,old,female,0,0,0,13,0
95,F_WWmale19neutral.jpg,faces,young,male,0,0,0,13,0
41,F_TSFWfemale51neutral.jpg,faces,old,female,0,0,0,13,1
173,O_safetypin.jpg,objects,nastroj,x,0,0,1,14,0
11,F_EMWfemale22-4neutral.jpg,faces,young,female,0,0,0,14,0
7,F_EMWfemale21-4neutral.jpg,faces,young,female,0,0,0,14,0
106,O_belt02a.jpg,objects,obleceni,x,0,0,0,14,0
155,O_lightbulb01.jpg,objects,elektronika,x,0,0,0,14,1
98,F_WWmale22-4neutral.jpg,faces,young,male,0,0,1,15,0
130,O_corkscrew03a.jpg,objects,kuchyn,x,0,0,0,15,0
235,S_Artificial_domek3.jpg,scenes,artificial,budova,1,0,0,15,0
41,F_TSFWfemale51neutral.jpg,faces,old,female,0,0,0,15,0
109,O_binoculars01b.jpg,objects,jine,x,0,0,0,15,1
296,S_Nature_plato.jpg,scenes,nature,hory,0,0,1,16,0
217,Ofv_orange.jpg,fruit_vegetables,fruit,x,0,1,0,16,0
265,S_Artificial_zamek-jezero2.jpg,scenes,artificial,kulturni pamatka,1,0,0,16,0
168,O_pliers05.jpg,objects,nastroj,x,0,0,0,16,0
157,O_lock03a.jpg,objects,jine,x,0,0,0,16,1
7,F_EMWfemale21-4neutral.jpg,faces,young,female,0,0,1,17,0
50,F_TSFWfemale65-3neutral.jpg,faces,old,female,0,0,0,17,0
169,O_potatomasher03b.jpg,objects,kuchyn,x,0,0,0,17,0
319,S_Nature_skala4.jpg,scenes,nature,hory,0,0,0,17,0
287,S_Nature_jezeroXXXX.jpg,scenes,nature,hory,0,0,0,17,1
31,F_EMWmale23-2neutral.jpg,faces,young,male,0,0,1,18,0
126,O_comb02a.jpg,objects,jine,x,0,0,0,18,0
228,S_Artificial_budova.jpg,scenes,artificial,budova,0,0,0,18,0
34,F_EMWmale24neutral.jpg,faces,young,male,0,0,0,18,0
249,S_Artificial_kostel6X.jpg,scenes,artificial,chram,0,0,0,18,1
193,O_violin.jpg,objects,herni,x,0,0,1,19,0
318,S_Nature_skala3.jpg,scenes,nature,hory,0,0,0,19,0
11,F_EMWfemale22-4neutral.jpg,faces,young,female,0,0,0,19,0
125,O_coffeepot03a.jpg,objects,kuchyn,x,0,0,0,19,0
310,S_Nature_sadyXXXX.jpg,scenes,nature,poust-pole,0,0,0,19,1
48,F_TSFWfemale64-3neutral.jpg,faces,old,female,0,0,1,20,0
224,Ofv_strawberry.jpg,fruit_vegetables,fruit,x,0,1,0,20,0
112,O_bottlecap.jpg,objects,kuchyn,x,0,0,0,20,0
114,O_bowl01.jpg,objects,kuchyn,x,0,0,0,20,0
91,F_WWfemale21-2neutral.jpg,faces,young,female,0,0,0,20,1
309,S_Nature_sady3XXXX.jpg,scenes,nature,poust-pole,0,0,1,21,0
174,O_scale01a.jpg,objects,elektronika,x,0,0,0,21,0
17,F_EMWfemale27neutral.jpg,faces,young,female,0,0,0,21,0
104,O_battery02b.jpg,objects,elektronika,x,0,0,0,21,0
195,O_waterbottle01b.jpg,objects,kuchyn,x,0,0,0,21,1
39,F_JWmale69-2neutral.jpg,faces,old,male,0,0,1,22,0
68,F_TSFWmale37neutral.jpg,faces,young,male,0,0,0,22,0
273,S_Artificial_zamek-zahrada2.jpg,scenes,artificial,kulturni pamatka,0,0,0,22,0
110,O_birdie.jpg,objects,herni,x,0,0,0,22,0
137,O_flask.jpg,objects,kuchyn,x,0,0,0,22,1
153,O_lamp04a.jpg,objects,elektronika,x,0,0,1,23,0
152,O_ladle02a.jpg,objects,kuchyn,x,0,0,0,23,0
220,Ofv_pickle.jpg,fruit_vegetables,vegetable,x,0,1,0,23,0
245,S_Artificial_kominy2.jpg,scenes,artificial,funkcni stavba,0,0,0,23,0
164,O_pacifier02d.jpg,objects,?,x,0,0,0,23,1
21,F_EMWfemale34neutral.jpg,faces,young,female,0,0,1,24,0
286,S_Nature_jezero9.jpg,scenes,nature,vodni plocha,1,0,0,24,0
256,S_Artificial_most.jpg,scenes,artificial,funkcni stavba,1,0,0,24,0
63,F_TSFWfemale69neutral.jpg,faces,old,female,0,0,0,24,0
231,S_Artificial_budova8X.jpg,scenes,artificial,budova,0,0,0,24,1
94,F_WWfemale26neutral.jpg,faces,young,female,0,0,1,25,0
185,O_teabag.jpg,objects,kuchyn,x,0,0,0,25,0
36,F_EMWmale40neutral.jpg,faces,young,male,0,0,0,25,0
